product_id,category,product_name,supplier,price
151,Toys,Inverse holistic pricing structure,Haynes Group,465.29
152,Books,Streamlined scalable policy,Sullivan-Zimmerman,73.65
153,Toys,Re-engineered foreground function,"Michael, Haney and Weaver",393.34
154,Clothing,Digitized non-volatile conglomeration,Clark LLC,19.73
155,Toys,Managed responsive solution,"Baker, Vega and Thompson",475.5
156,Furniture,Multi-channeled tangible toolset,Maxwell-Knapp,9.96
157,Books,Networked analyzing standardization,Allen-West,243.92
158,Books,Synergistic even-keeled alliance,Burns-Henry,246.21
159,Electronics,Self-enabling content-based open system,Simpson Ltd,352.95
160,Clothing,Implemented optimizing alliance,Richards LLC,213.26
161,Books,Multi-tiered client-driven policy,Pena Ltd,378.46
162,Toys,Customizable next generation hardware,"Randolph, Gomez and Gomez",331.52
163,Furniture,Object-based real-time strategy,Wilson Group,428.05
164,Furniture,Customizable zero-defect groupware,Herrera-Miller,5.03
165,Books,Up-sized non-volatile hierarchy,Church and Sons,455.9
166,Books,Progressive user-facing definition,Jones-Allen,125.81
167,Books,Extended 4thgeneration projection,Fuentes Group,385.6
168,Books,Public-key content-based task-force,"Small, Smith and Daniel",198.32
169,Toys,Adaptive value-added matrices,Lee LLC,263.21
170,Electronics,Decentralized fault-tolerant solution,Vaughn Inc,447.14
171,Electronics,Horizontal intermediate data-warehouse,Robinson-Burke,195.9
172,Toys,Horizontal modular time-frame,Mcpherson Ltd,359.33
173,Furniture,Fundamental non-volatile algorithm,Johnson Group,468.27
174,Books,Centralized holistic pricing structure,Mccall PLC,346.52
175,Furniture,Cross-group tertiary database,Frazier-Wade,443.47
176,Clothing,Enhanced methodical database,Chapman Ltd,35.09
177,Electronics,Compatible radical instruction set,"Thomas, Browning and Garcia",86.1
178,Electronics,Open-source executive orchestration,Martinez LLC,354.78
179,Electronics,Optional mobile orchestration,Brown Ltd,143.32
180,Electronics,Optimized zero administration extranet,"Jimenez, Lambert and Gonzales",261.03
181,Electronics,Profound 24/7 emulation,Gonzales-Franklin,137.15
182,Books,Multi-channeled non-volatile info-mediaries,Alvarado-Garcia,463.55
183,Clothing,Operative uniform synergy,Stanton and Sons,324.26
184,Books,Focused tangible archive,Lewis-Bryan,267.47
185,Toys,Multi-channeled hybrid utilization,Reyes-Carr,386.02
186,Furniture,Polarized optimizing Internet solution,"Medina, May and Berger",133.4
187,Clothing,Robust incremental firmware,"Watkins, Meyer and Winters",248.77
188,Toys,Front-line contextually-based parallelism,"Sutton, Bailey and Gross",28.19
189,Clothing,Adaptive 24hour encryption,Osborn-Moore,135.96
190,Books,Monitored upward-trending capacity,Hayes and Sons,86.33
191,Books,Innovative coherent function,"Carter, Harvey and Hall",372.71
192,Clothing,Stand-alone modular task-force,Martinez Ltd,26.98
193,Books,Up-sized didactic archive,Thompson PLC,466.57
194,Books,Adaptive multi-state system engine,Keller LLC,75.1
195,Furniture,Expanded secondary Graphic Interface,Lucero-Jones,263.54
196,Clothing,Compatible client-server utilization,Lowe-Sanchez,66.14
197,Electronics,Organic analyzing structure,Montgomery Ltd,185.81
198,Electronics,Horizontal high-level definition,Williams-Moss,422.57
199,Toys,Synergized optimizing leverage,Armstrong Group,68.13
200,Electronics,Open-architected 6thgeneration complexity,Decker Inc,18.21
201,Electronics,Implemented bifurcated workforce,Horn-Mcclain,230.35
202,Electronics,Right-sized optimal superstructure,Burns Group,206.19
203,Clothing,Organized user-facing moratorium,Beasley LLC,103.11
204,Books,User-friendly bi-directional policy,Conway and Sons,216.96
205,Toys,Optimized system-worthy application,Stephens-Stafford,381.51
206,Books,Function-based systemic monitoring,Harrison-Jones,477.96
207,Clothing,Fully-configurable asynchronous help-desk,Simon-Chavez,459.38
208,Electronics,Integrated zero-defect flexibility,Lawson LLC,215.04
209,Books,Decentralized radical task-force,Wilson PLC,248.73
210,Electronics,Diverse static focus group,Fisher and Sons,76.37
211,Books,Pre-emptive encompassing extranet,"Chase, Phillips and Gilmore",357.69
212,Furniture,Visionary attitude-oriented migration,Roth-Williams,376.82
213,Clothing,De-engineered optimizing installation,Russell Ltd,357.09
214,Electronics,Optional even-keeled infrastructure,West-Schroeder,85.45
215,Clothing,Object-based mission-critical knowledgebase,Robertson Ltd,14.4
216,Books,Universal even-keeled artificial intelligence,Martin-Welch,225.14
217,Books,Grass-roots logistical collaboration,"Atkins, Carlson and Reeves",159.62
218,Books,Future-proofed cohesive Internet solution,Lin Group,403.07
219,Furniture,Vision-oriented stable collaboration,Fleming and Sons,410.55
220,Toys,Robust bifurcated neural-net,Duncan Group,184.83
221,Furniture,Multi-lateral web-enabled synergy,Keller Group,419.57
222,Toys,Sharable secondary groupware,"Nunez, Tanner and Hart",28.1
223,Books,Programmable zero administration moratorium,Dudley-Graham,456.14
224,Books,Grass-roots zero tolerance intranet,Hicks Group,455.84
225,Toys,Organic zero-defect hub,"Best, Huff and Pitts",290.13
226,Books,Up-sized local monitoring,"Howe, Rodriguez and Myers",151.1
227,Clothing,Polarized bottom-line hub,"Payne, Bates and Martinez",314.21
228,Clothing,Multi-lateral disintermediate groupware,Malone LLC,483.33
229,Clothing,Ameliorated fault-tolerant productivity,Lee PLC,39.58
230,Toys,Object-based needs-based protocol,Taylor-Walker,333.82
231,Electronics,Devolved motivating methodology,Dougherty and Sons,486.41
232,Books,Automated secondary hub,Jacobson-Allen,387.57
233,Furniture,Persevering national benchmark,"Peterson, Hernandez and Matthews",328.34
234,Electronics,Diverse actuating website,Hendricks-Ellis,140.83
235,Clothing,Synergized 24hour infrastructure,Hogan LLC,251.04
236,Electronics,Switchable directional open architecture,Hardy-Anderson,485.19
237,Books,Inverse modular knowledgebase,Hoffman-Fleming,21.84
238,Furniture,Grass-roots bi-directional toolset,Parks-Torres,464.48
239,Books,Proactive value-added secured line,Alvarez-Gray,28.24
240,Electronics,Organic high-level matrix,Jenkins Group,224.58
241,Furniture,User-friendly optimal time-frame,Harris Inc,432.05
242,Books,Future-proofed needs-based firmware,"Gonzales, Armstrong and Newton",343.21
243,Electronics,Cross-platform optimal portal,Alvarez-Coleman,475.55
244,Electronics,Persevering 3rdgeneration help-desk,Black-Tapia,319.59
245,Clothing,Cloned logistical structure,Bray PLC,153.04
246,Books,Fundamental interactive attitude,"Moreno, Fischer and Moss",362.07
247,Electronics,Assimilated intermediate product,Armstrong LLC,144.66
248,Clothing,Managed stable challenge,"Johnson, Evans and Johnson",116.46
249,Books,Implemented static knowledgebase,Harrison-Boyle,173.95
250,Electronics,User-centric exuding functionalities,Cannon and Sons,469.23
251,Toys,Programmable context-sensitive moderator,"Fernandez, Hines and Miller",439.8
252,Clothing,Monitored well-modulated info-mediaries,Lee LLC,368.84
253,Books,Reverse-engineered dedicated open system,Elliott LLC,176.85
254,Furniture,Synchronized stable infrastructure,"Allen, Tran and Harrell",245.85
255,Clothing,Seamless even-keeled workforce,"Roberts, Smith and Davis",399.01
256,Furniture,Profound even-keeled system engine,"Sanchez, Perry and Foster",148.38
257,Toys,Right-sized asynchronous attitude,"Norton, Bennett and Brown",399.94
258,Electronics,Streamlined tertiary framework,Lawson PLC,438.78
259,Furniture,Reverse-engineered incremental encoding,"Ramsey, Merritt and Porter",227.55
260,Books,Advanced methodical archive,Burgess-Avery,36.87
261,Clothing,Exclusive disintermediate budgetary management,Chase PLC,371.85
262,Furniture,Fully-configurable optimal capacity,Anderson PLC,282.55
263,Books,Open-architected next generation algorithm,Garcia-Flores,44.11
264,Toys,Self-enabling object-oriented attitude,Mclean Ltd,448.28
265,Furniture,Profit-focused modular orchestration,"Thornton, Jensen and Holland",117.27
266,Electronics,Total bandwidth-monitored intranet,Sanchez Ltd,96.08
267,Toys,Organic foreground emulation,Hansen-Glass,469.83
268,Electronics,Ergonomic clear-thinking process improvement,Grant PLC,164.56
269,Clothing,Extended user-facing extranet,Crane LLC,210.26
270,Clothing,Cloned cohesive benchmark,"Walker, Herman and Black",398.81
271,Books,Balanced zero-defect website,Stuart-Shepard,347.72
272,Toys,Proactive disintermediate protocol,Anderson Ltd,136.73
273,Books,Seamless content-based application,Conner-Clark,328.11
274,Clothing,Centralized transitional groupware,Bradshaw LLC,244.9
275,Furniture,Vision-oriented composite secured line,Roman PLC,458.36
276,Clothing,Pre-emptive upward-trending superstructure,Smith LLC,229.69
277,Furniture,Reverse-engineered directional neural-net,"Arellano, Cantu and Mullins",416.86
278,Books,Progressive impactful function,"Hartman, Johnson and Thompson",303.05
279,Books,Expanded mobile paradigm,"Thomas, Johnson and Villegas",349.7
280,Electronics,Multi-layered asymmetric pricing structure,"Gill, Rhodes and Hodges",366.42
281,Toys,Focused client-server throughput,Hebert-Levine,336.43
282,Furniture,Right-sized optimal open system,Bass-Mosley,310.03
283,Furniture,User-centric human-resource Graphic Interface,Larson-Brock,190.03
284,Toys,Exclusive asynchronous methodology,"Buckley, Young and Thompson",161.58
285,Clothing,Enterprise-wide neutral application,Taylor Inc,62.98
286,Clothing,Operative fresh-thinking alliance,Phillips-Rhodes,308.02
287,Clothing,Persevering system-worthy matrices,Ray-Kelley,232.15
288,Toys,Persevering contextually-based middleware,Jackson-Mcbride,85.0
289,Toys,Integrated logistical hub,Clark-Ramirez,357.49
290,Clothing,Automated optimizing challenge,"Robinson, Short and Baker",21.09
291,Electronics,Distributed attitude-oriented help-desk,Randall-Lee,411.86
292,Electronics,Public-key global toolset,"Wang, Robinson and Morales",440.21
293,Clothing,Cloned object-oriented success,Ramirez Ltd,446.67
294,Furniture,Function-based web-enabled superstructure,"Brennan, Stark and West",87.34
295,Toys,Monitored global migration,Wilson Group,44.8
296,Furniture,Team-oriented discrete policy,Escobar-Johnson,306.82
297,Toys,Seamless background Graphical User Interface,Sanchez-Hendricks,465.78
298,Books,Digitized full-range process improvement,"Reynolds, Rose and Wyatt",255.88
299,Books,Multi-channeled human-resource task-force,Riddle-James,404.9
300,Toys,Pre-emptive cohesive model,Branch-Snyder,236.98
301,Clothing,Right-sized uniform standardization,Myers-Logan,294.3
302,Furniture,Persistent global help-desk,Lee-Palmer,13.69
303,Furniture,Implemented cohesive challenge,Boyer PLC,103.43
304,Books,Down-sized tangible contingency,Johnson Group,17.06
305,Toys,Re-contextualized reciprocal approach,Scott and Sons,20.16
306,Clothing,Focused even-keeled website,Frazier-Smith,235.89
307,Electronics,Cross-group optimizing complexity,Sullivan and Sons,471.56
308,Books,Exclusive reciprocal installation,Graham-Sanchez,481.8
309,Electronics,Upgradable national emulation,Hicks-Mcgee,329.5
310,Toys,Inverse motivating pricing structure,Walker PLC,394.82
311,Books,Upgradable upward-trending monitoring,Sharp Inc,327.88
312,Toys,Inverse full-range productivity,"Gibbs, Wilson and Hall",323.4
313,Clothing,Organic optimal firmware,Jackson PLC,423.08
314,Electronics,Seamless encompassing complexity,Morton Inc,66.22
315,Toys,Universal clear-thinking challenge,Silva-Cruz,247.26
316,Clothing,Automated bandwidth-monitored knowledge user,"Acevedo, Thomas and Bender",49.4
317,Clothing,Decentralized full-range Local Area Network,Wallace-Sweeney,443.6
318,Books,Enterprise-wide dedicated knowledgebase,"Russell, Mcdonald and Myers",202.69
319,Toys,Intuitive 24hour portal,"Burke, Wheeler and Bolton",152.78
320,Furniture,Adaptive scalable archive,"Haynes, Collins and Martin",286.95
321,Toys,Multi-channeled modular standardization,"Young, Hanna and Kennedy",404.3
322,Clothing,Advanced background moderator,"Wilson, Mckinney and Burns",414.29
323,Clothing,Customer-focused homogeneous definition,"Snow, Wallace and Hanson",50.27
324,Books,Face-to-face dedicated conglomeration,Ramirez-Martin,478.42
325,Toys,Reduced client-server initiative,Fitzpatrick-Medina,11.23
326,Clothing,Innovative holistic data-warehouse,"Moore, Duffy and Ford",405.55
327,Furniture,Cross-platform maximized protocol,"Johnson, Rogers and Reynolds",166.88
328,Toys,Sharable tertiary archive,Dean-Garcia,282.16
329,Toys,Monitored responsive ability,Vasquez-Jackson,18.47
330,Clothing,Sharable 4thgeneration installation,"English, Smith and Stone",193.62
331,Books,Switchable heuristic throughput,"Holmes, Wilson and Valdez",174.48
332,Furniture,User-centric asymmetric hardware,"Graves, Campbell and Brown",341.41
333,Books,Cross-platform fault-tolerant attitude,"Cabrera, Cardenas and Cole",103.89
334,Furniture,Public-key radical open architecture,Lee and Sons,484.04
335,Toys,User-centric coherent framework,"Mendez, Gillespie and Delgado",76.05
336,Furniture,User-friendly homogeneous hierarchy,"Perez, Pena and Ortiz",158.65
337,Books,Seamless stable Graphic Interface,Randall Inc,234.72
338,Electronics,Reverse-engineered fresh-thinking encryption,Kennedy Group,152.06
339,Furniture,Grass-roots methodical firmware,Richardson-Mendoza,181.76
340,Electronics,Profound empowering initiative,Harrell LLC,149.12
341,Toys,Up-sized real-time utilization,Howard PLC,485.69
342,Furniture,Horizontal tangible utilization,Santiago Inc,330.04
343,Books,Cross-group bifurcated standardization,"Baker, Roberts and Carter",51.35
344,Clothing,Expanded clear-thinking matrix,"Lewis, Duke and Rodgers",316.97
345,Clothing,Multi-lateral secondary capability,Davenport LLC,179.33
346,Books,Multi-tiered national policy,"Rice, Cooper and Meyer",64.61
347,Books,Progressive solution-oriented architecture,"Mills, Myers and Turner",356.27
348,Electronics,Exclusive stable protocol,Perez Group,270.79
349,Furniture,Synchronized 3rdgeneration capacity,Fisher-Hendricks,404.82
350,Toys,Object-based static budgetary management,"Hernandez, Sloan and Ferrell",400.85
351,Furniture,Monitored multimedia capacity,Alexander-Daniel,296.88
352,Electronics,Re-engineered explicit project,"Davis, Taylor and Davidson",394.23
353,Clothing,Programmable non-volatile core,Davis Ltd,79.03
354,Toys,Proactive dedicated task-force,"Weber, Hall and Brennan",342.87
355,Toys,Expanded global neural-net,Lee LLC,488.5
356,Furniture,Configurable background website,Coleman and Sons,134.68
357,Books,Customer-focused content-based Graphic Interface,Davis Group,219.28
358,Books,De-engineered uniform instruction set,"Clark, Walters and Hudson",65.69
359,Electronics,Innovative logistical focus group,Brock-Holloway,287.39
360,Books,Quality-focused homogeneous focus group,Haley Inc,310.55
361,Toys,Object-based non-volatile support,Stephenson-Fuentes,444.3
362,Electronics,Pre-emptive encompassing collaboration,Williams-Michael,241.02
363,Furniture,Ergonomic homogeneous complexity,Carrillo Ltd,79.81
364,Toys,Persistent incremental standardization,"Medina, Orr and Robinson",190.24
365,Electronics,Stand-alone system-worthy encoding,"Levine, Johnson and Weaver",272.55
366,Furniture,Vision-oriented 5thgeneration paradigm,Smith PLC,472.01
367,Books,Customer-focused maximized time-frame,Rodriguez-Garner,78.51
368,Toys,User-centric mobile productivity,Hughes PLC,326.88
369,Toys,Function-based coherent monitoring,"Brown, Garcia and Moore",207.49
370,Furniture,Profound 5thgeneration instruction set,Collins-Nelson,221.25
371,Furniture,Distributed asymmetric superstructure,Jackson-Hall,313.98
372,Electronics,Operative cohesive ability,Jackson-Roth,295.68
373,Toys,Mandatory demand-driven parallelism,Turner Inc,120.72
374,Clothing,Team-oriented directional intranet,Sanchez and Sons,114.5
375,Books,Public-key impactful firmware,Brown Inc,292.6
376,Toys,Business-focused web-enabled secured line,Pollard and Sons,215.12
377,Furniture,Adaptive systematic workforce,"Baker, Best and Martinez",428.72
378,Furniture,Business-focused regional pricing structure,Leon-Martin,129.0
379,Electronics,Fundamental holistic Local Area Network,Owens Group,495.9
380,Toys,Assimilated encompassing matrices,"Jones, Trevino and Price",86.13
381,Toys,Integrated full-range monitoring,Ryan-Gutierrez,429.39
382,Clothing,Proactive systemic leverage,Brown LLC,181.44
383,Books,Phased uniform infrastructure,Carlson Inc,210.46
384,Furniture,Up-sized exuding intranet,Reed Inc,338.84
385,Clothing,Stand-alone national hub,Bell PLC,312.42
386,Books,Operative solution-oriented system engine,Meza PLC,118.22
387,Books,Programmable system-worthy superstructure,"Hughes, Travis and Edwards",200.94
388,Furniture,Synchronized content-based synergy,"Clark, Willis and Smith",408.06
389,Books,Upgradable bandwidth-monitored artificial intelligence,Robertson Ltd,100.92
390,Books,Reverse-engineered impactful conglomeration,Nelson Inc,348.05
391,Electronics,Distributed dedicated leverage,Small-Zuniga,192.17
392,Books,Phased hybrid knowledgebase,Jackson PLC,440.83
393,Furniture,Quality-focused even-keeled process improvement,"Edwards, Armstrong and Levy",149.76
394,Toys,Organic hybrid attitude,"Ortiz, Ware and Martinez",386.98
395,Toys,Focused modular contingency,Hall LLC,51.74
396,Electronics,Networked 6thgeneration portal,Joseph LLC,207.02
397,Toys,Multi-lateral intangible budgetary management,"Watkins, Jarvis and Mcpherson",167.51
398,Books,Reduced eco-centric customer loyalty,"Barrett, Watson and Nguyen",99.22
399,Books,Intuitive exuding policy,Nolan Group,352.15
400,Electronics,Quality-focused user-facing middleware,Grant-Hines,126.54
401,Clothing,Sharable background archive,"Bailey, Valdez and Kirk",338.09
402,Toys,Polarized leadingedge flexibility,Brown-Hall,411.22
403,Books,Proactive radical installation,"Wilson, Sims and Blevins",203.47
404,Furniture,Cross-platform next generation process improvement,Waters Group,488.89
405,Furniture,Adaptive 6thgeneration policy,"Newton, Watts and Smith",201.3
406,Furniture,Assimilated optimal productivity,Ochoa Ltd,25.12
407,Clothing,Reverse-engineered methodical matrices,"Fox, Flores and Perry",99.47
408,Electronics,Extended grid-enabled instruction set,Valencia-Bailey,195.76
409,Toys,Profound executive solution,"Oliver, Santiago and Ortiz",330.93
410,Clothing,Team-oriented real-time task-force,"Skinner, Sullivan and Morales",343.86
411,Toys,Reverse-engineered maximized extranet,Dixon-Villegas,348.07
412,Books,Intuitive motivating encryption,Murphy LLC,353.78
413,Clothing,Optimized uniform access,Sanford-Vasquez,183.35
414,Electronics,Advanced intangible strategy,Macias PLC,48.16
